Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.03","231.11","24,308.00","5,617,821.88","5,617,821.88","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"XEC","CIMAREX ENERGY","Equity","0.03","90.61","61,954.00","5,613,651.94","5,613,651.94","Energy","2987521","US1717981013","New York Stock Exchange Inc."
"ALLE","ALLEGION PLC","Equity","0.03","90.42","62,032.00","5,608,933.44","5,608,933.44","Industrials","BFRT3W7","IE00BFRT3W74","New York Stock Exchange Inc."
"SUI","SUN COMMUNITIES REIT INC","Equity","0.03","102.94","54,210.00","5,580,377.40","5,580,377.40","Real Estate","2860257","US8666741041","New York Stock Exchange Inc."
"SRPT","SAREPTA THERAPEUTICS INC","Equity","0.03","133.00","41,906.00","5,573,498.00","5,573,498.00","Health Care","B8DPDT7","US8036071004","NASDAQ"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Equity","0.03","142.19","38,885.00","5,529,058.15","5,529,058.15","Health Care","B4Q5ZN4","IE00B4Q5ZN47","NASDAQ"
"DATA","TABLEAU SOFTWARE INC CLASS A","Equity","0.03","119.66","46,183.00","5,526,257.78","5,526,257.78","Information Technology","B8DJFL5","US87336U1051","New York Stock Exchange Inc."
"BWA","BORGWARNER INC","Equity","0.03","40.14","137,614.00","5,523,825.96","5,523,825.96","Consumer Discretionary","2111955","US0997241064","New York Stock Exchange Inc."
"MOH","MOLINA HEALTHCARE INC","Equity","0.03","136.04","40,567.00","5,518,734.68","5,518,734.68","Health Care","2212706","US60855R1005","New York Stock Exchange Inc."
"GRUB","GRUBHUB INC","Equity","0.03","92.36","59,712.00","5,515,000.32","5,515,000.32","Consumer Discretionary","BKY7XF2","US4001101025","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.03","63.13","86,972.00","5,490,542.36","5,490,542.36","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.03","230.28","23,504.00","5,412,501.12","5,412,501.12","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Equity","0.03","97.61","55,192.00","5,387,291.12","5,387,291.12","Real Estate","2563125","US29472R1086","New York Stock Exchange Inc."
"AVY","AVERY DENNISON CORP","Equity","0.03","93.62","57,372.00","5,371,166.64","5,371,166.64","Materials","2066408","US0536111091","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.03","92.64","57,901.00","5,363,948.64","5,363,948.64","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"PRGO","PERRIGO PLC","Equity","0.03","62.88","85,239.00","5,359,828.32","5,359,828.32","Health Care","BGH1M56","IE00BGH1M568","New York Stock Exchange Inc."
"VICI","VICI PPTYS INC","Equity","0.03","21.75","246,241.00","5,355,741.75","5,355,741.75","Real Estate","BYWH073","US9256521090","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.03","111.76","47,845.00","5,347,157.20","5,347,157.20","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"XRAY","DENTSPLY SIRONA INC","Equity","0.03","36.80","145,244.00","5,344,979.20","5,344,979.20","Health Care","BYNPPC6","US24906P1093","NASDAQ"
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.03","57.43","92,173.00","5,293,495.39","5,293,495.39","Communication","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"QGEN","QIAGEN NV","Equity","0.03","36.45","144,957.00","5,283,682.65","5,283,682.65","Health Care","BYXS688","NL0012169213","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.03","38.15","138,443.00","5,281,600.45","5,281,600.45","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.03","54.89","96,154.00","5,277,893.06","5,277,893.06","Financials","2487407","US27579R1041","NASDAQ"
"SIRI","SIRIUS XM HOLDINGS INC","Equity","0.03","6.21","849,057.00","5,272,643.97","5,272,643.97","Communication","BGLDK10","US82968B1035","NASDAQ"
"ST","SENSATA TECHNOLOGIES HOLDING PLC","Equity","0.03","47.76","110,072.00","5,257,038.72","5,257,038.72","Industrials","BFMBMT8","GB00BFMBMT84","New York Stock Exchange Inc."
"ON","ON SEMICONDUCTOR CORP","Equity","0.03","18.40","283,227.00","5,211,376.80","5,211,376.80","Information Technology","2583576","US6821891057","NASDAQ"
"ALK","ALASKA AIR GROUP INC","Equity","0.03","65.71","79,266.00","5,208,568.86","5,208,568.86","Industrials","2012605","US0116591092","New York Stock Exchange Inc."
"SLG","SL GREEN REALTY REIT CORP","Equity","0.03","95.27","54,609.00","5,202,599.43","5,202,599.43","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.03","256.94","20,236.00","5,199,437.84","5,199,437.84","Information Technology","2249964","US90385D1072","NASDAQ"
"RHI","ROBERT HALF","Equity","0.03","64.99","79,918.00","5,193,870.82","5,193,870.82","Industrials","2110703","US7703231032","New York Stock Exchange Inc."
